unique.split,parent.split,host,parent.host
550,unassigned_region-SPLIT1,550,unassigned_region
450-SPLIT1,unassigned_region-SPLIT2,450,unassigned_region
101,unassigned_region-SPLIT2,101,unassigned_region
450-SPLIT2,101,450,101
137-SPLIT1,101,137,101
137-SPLIT2,101,137,101
57-SPLIT1,unassigned_region-SPLIT1,57,unassigned_region
856,57-SPLIT1,856,57
181,856,181,856
824,57-SPLIT1,824,57
327,unassigned_region-SPLIT1,327,unassigned_region
584,unassigned_region-SPLIT1,584,unassigned_region
157,57-SPLIT2,157,57
934,157,934,157
855,157,855,157
57-SPLIT2,584,57,584
630,69,630,69
69,584,69,584
110,69,110,69
206,110,206,110
347,206,347,206
205,unassigned_region-SPLIT1,205,unassigned_region
783,205,783,205
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,57-SPLIT1,unassigned_region,57
