unique.split,parent.split,host,parent.host
146,unassigned_region-SPLIT1,146,unassigned_region
298,unassigned_region-SPLIT2,298,unassigned_region
249,unassigned_region-SPLIT2,249,unassigned_region
556,unassigned_region-SPLIT2,556,unassigned_region
166,unassigned_region-SPLIT1,166,unassigned_region
126-SPLIT1,166,126,166
403,126-SPLIT1,403,126
486,126-SPLIT1,486,126
388,126-SPLIT1,388,126
126-SPLIT2,unassigned_region-SPLIT1,126,unassigned_region
300,126-SPLIT2,300,126
198,unassigned_region-SPLIT3,198,unassigned_region
972,unassigned_region-SPLIT3,972,unassigned_region
927,126-SPLIT2,927,126
114,126-SPLIT2,114,126
126-SPLIT3,unassigned_region-SPLIT1,126,unassigned_region
474,126-SPLIT3,474,126
627,unassigned_region-SPLIT1,627,unassigned_region
132,627,132,627
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,146,unassigned_region,146
unassigned_region-SPLIT3,126-SPLIT2,unassigned_region,126
