dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,1.0,0.918,0.957,0.926,0.685,0.787
SEIR015_sl1000_mr0125_nv10_10,1.0,0.474,0.643,0.875,0.737,0.8
SEIR015_sl1000_mr0125_nv10_11,1.0,0.538,0.7,0.889,0.615,0.727
SEIR015_sl1000_mr0125_nv10_12,1.0,0.643,0.783,0.9,0.643,0.75
SEIR015_sl1000_mr0125_nv10_13,0.979,0.94,0.959,0.976,0.8,0.879
SEIR015_sl1000_mr0125_nv10_14,1.0,0.654,0.791,0.913,0.808,0.857
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.862,0.556,0.676
SEIR015_sl1000_mr0125_nv10_16,0.861,0.492,0.626,0.818,0.714,0.763
SEIR015_sl1000_mr0125_nv10_17,1.0,0.462,0.632,0.864,0.731,0.792
SEIR015_sl1000_mr0125_nv10_18,1.0,0.5,0.667,0.875,0.7,0.778
SEIR015_sl1000_mr0125_nv10_19,1.0,0.548,0.708,0.857,0.581,0.692
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.909,0.625,0.741
SEIR015_sl1000_mr0125_nv10_20,0.958,0.561,0.708,0.912,0.756,0.827
SEIR015_sl1000_mr0125_nv10_3,1.0,0.667,0.8,0.8,0.889,0.842
SEIR015_sl1000_mr0125_nv10_4,1.0,0.8,0.889,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.938,0.882,0.909,0.895,0.333,0.486
SEIR015_sl1000_mr0125_nv10_6,1.0,0.6,0.75,0.913,0.6,0.724
SEIR015_sl1000_mr0125_nv10_7,0.979,0.676,0.8,0.979,0.691,0.81
SEIR015_sl1000_mr0125_nv10_8,1.0,0.667,0.8,0.824,0.778,0.8
SEIR015_sl1000_mr0125_nv10_9,0.75,0.429,0.545,0.667,0.286,0.4
SEIR015_sl1000_mr025_nv10_1,1.0,0.6,0.75,1.0,0.9,0.947
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,0.977,0.75,0.848,0.932,0.732,0.82
SEIR015_sl1000_mr025_nv10_12,1.0,0.2,0.333,1.0,0.4,0.571
SEIR015_sl1000_mr025_nv10_13,1.0,0.1,0.182,0.5,0.2,0.286
