dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr0125_nv10_1,1,0.667,0.8,0.857,0.667,0.75
SEIR01_sl1000_mr0125_nv10_10,0.923,0.889,0.906,0.918,0.833,0.874
SEIR01_sl1000_mr0125_nv10_11,1,0.846,0.917,0.929,1,0.963
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333
SEIR01_sl1000_mr0125_nv10_13,1,0.8,0.889,1,1,1
SEIR01_sl1000_mr0125_nv10_14,0.962,0.833,0.893,0.964,0.9,0.931
SEIR01_sl1000_mr0125_nv10_15,1,0.875,0.933,0.952,0.833,0.889
SEIR01_sl1000_mr0125_nv10_16,1,0.571,0.727,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_17,0.857,0.5,0.632,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.949,0.822,0.881,0.927,0.844,0.884
SEIR01_sl1000_mr0125_nv10_19,0.957,0.733,0.83,0.926,0.833,0.877
SEIR01_sl1000_mr0125_nv10_2,1,0.808,0.894,1,0.962,0.98
SEIR01_sl1000_mr0125_nv10_20,0.95,0.76,0.844,0.885,0.92,0.902
SEIR01_sl1000_mr0125_nv10_3,1,0.868,0.93,0.921,0.921,0.921
SEIR01_sl1000_mr0125_nv10_4,0.9,0.75,0.818,0.9,0.75,0.818
SEIR01_sl1000_mr0125_nv10_5,0.95,0.809,0.874,0.953,0.872,0.911
SEIR01_sl1000_mr0125_nv10_6,0.911,0.854,0.882,0.951,0.812,0.876
SEIR01_sl1000_mr0125_nv10_7,1,0.897,0.946,0.973,0.923,0.947
SEIR01_sl1000_mr0125_nv10_8,0.8,0.667,0.727,0.714,0.833,0.769
SEIR01_sl1000_mr0125_nv10_9,0.977,0.915,0.945,0.977,0.894,0.933
SEIR01_sl1000_mr025_nv10_1,0.958,0.821,0.885,0.923,0.857,0.889
SEIR01_sl1000_mr025_nv10_10,0.875,0.778,0.824,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,1,0.829,0.906,0.914,0.914,0.914
SEIR01_sl1000_mr025_nv10_12,0.714,0.625,0.667,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.944,0.85,0.895,0.824,0.7,0.757
SEIR01_sl1000_mr025_nv10_14,0.906,0.853,0.879,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.947,0.857,0.9,0.947,0.857,0.9
SEIR01_sl1000_mr025_nv10_17,0.829,0.756,0.791,0.861,0.689,0.765
SEIR01_sl1000_mr025_nv10_18,0.875,0.778,0.824,0.8,0.889,0.842
SEIR01_sl1000_mr025_nv10_19,0.9,0.763,0.826,0.87,0.797,0.832
SEIR01_sl1000_mr025_nv10_2,0.947,0.818,0.878,0.875,0.955,0.913
SEIR01_sl1000_mr025_nv10_20,0.933,0.824,0.875,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.884,0.776,0.826,0.896,0.878,0.887
SEIR01_sl1000_mr025_nv10_4,0.977,0.827,0.896,0.957,0.846,0.898
SEIR01_sl1000_mr025_nv10_5,0.952,0.909,0.93,0.95,0.864,0.905
SEIR01_sl1000_mr025_nv10_6,0.833,0.714,0.769,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.812,0.65,0.722,0.861,0.775,0.816
SEIR01_sl1000_mr025_nv10_8,0.818,0.667,0.735,0.88,0.815,0.846
SEIR01_sl1000_mr025_nv10_9,0.911,0.872,0.891,0.907,0.83,0.867
SEIR01_sl1000_mr025_nv20_1,0.897,0.812,0.852,0.818,0.844,0.831
SEIR01_sl1000_mr025_nv20_10,0.8,0.444,0.571,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv20_11,0.667,0.4,0.5,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,1,0.722,0.839,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv20_13,0.88,0.759,0.815,0.907,0.845,0.875
SEIR01_sl1000_mr025_nv20_14,0.889,0.615,0.727,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.952,0.87,0.909,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv20_16,1,0.286,0.444,0.545,0.857,0.667
SEIR01_sl1000_mr025_nv20_17,0.952,0.8,0.87,0.875,0.84,0.857
SEIR01_sl1000_mr025_nv20_18,0.957,0.846,0.898,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.941,0.906,0.923,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.972,0.833,0.897,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.957,0.71,0.815,0.821,0.742,0.78
SEIR01_sl1000_mr025_nv20_3,0.875,0.667,0.757,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.857,0.75,0.8,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,1,0.758,0.862,0.875,0.848,0.862
SEIR01_sl1000_mr025_nv20_6,1,0.909,0.952,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.933,0.824,0.875,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.75,0.6,0.667,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,0.833,0.909,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.857,0.732,0.789,0.906,0.707,0.795
SEIR01_sl1000_mr025_nv5_10,1,0.455,0.625,1,0.606,0.755
SEIR01_sl1000_mr025_nv5_11,0.917,0.579,0.71,0.938,0.789,0.857
SEIR01_sl1000_mr025_nv5_12,0.909,0.526,0.667,0.824,0.737,0.778
SEIR01_sl1000_mr025_nv5_13,1,0.667,0.8,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,1,0.6,0.75,1,0.9,0.947
SEIR01_sl1000_mr025_nv5_15,0.8,0.741,0.769,0.731,0.704,0.717
SEIR01_sl1000_mr025_nv5_16,1,0.667,0.8,1,0.778,0.875
SEIR01_sl1000_mr025_nv5_17,0.889,0.727,0.8,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.897,0.553,0.684,0.946,0.745,0.833
SEIR01_sl1000_mr025_nv5_19,0.965,0.948,0.957,0.965,0.948,0.957
SEIR01_sl1000_mr025_nv5_2,0.9,0.562,0.692,0.867,0.812,0.839
SEIR01_sl1000_mr025_nv5_20,0.941,0.667,0.78,0.889,0.667,0.762
SEIR01_sl1000_mr025_nv5_3,0.875,0.7,0.778,0.889,0.8,0.842
SEIR01_sl1000_mr025_nv5_4,0.8,0.72,0.758,0.925,0.74,0.822
SEIR01_sl1000_mr025_nv5_5,0.783,0.706,0.742,0.879,0.569,0.69
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,1,0.7,0.824,1,1,1
SEIR01_sl1000_mr025_nv5_8,0.9,0.783,0.837,0.87,0.87,0.87
SEIR01_sl1000_mr025_nv5_9,0.833,0.556,0.667,0.875,0.778,0.824
SEIR01_sl1000_mr05_nv10_1,0.909,0.769,0.833,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,1,0.857,0.923,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.92,0.719,0.807,0.871,0.844,0.857
SEIR01_sl1000_mr05_nv10_12,0.938,0.776,0.849,0.923,0.828,0.873
SEIR01_sl1000_mr05_nv10_13,0.857,0.75,0.8,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.969,0.795,0.873,0.929,0.667,0.776
SEIR01_sl1000_mr05_nv10_15,0.857,0.75,0.8,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.952,0.909,0.93,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.955,0.955,0.955,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.957,0.786,0.863,0.889,0.857,0.873
