dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,1,0.89,0.942,0.942,0.671,0.784
SEIR015_sl1000_mr0125_nv10_10,1,0.526,0.69,0.867,0.684,0.765
SEIR015_sl1000_mr0125_nv10_11,1,0.538,0.7,1,0.692,0.818
SEIR015_sl1000_mr0125_nv10_12,1,0.643,0.783,0.818,0.643,0.72
SEIR015_sl1000_mr0125_nv10_13,0.936,0.88,0.907,0.952,0.8,0.87
SEIR015_sl1000_mr0125_nv10_14,1,0.673,0.805,0.913,0.808,0.857
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.893,0.556,0.685
SEIR015_sl1000_mr0125_nv10_16,0.882,0.476,0.619,0.821,0.73,0.773
SEIR015_sl1000_mr0125_nv10_17,1,0.423,0.595,0.909,0.769,0.833
SEIR015_sl1000_mr0125_nv10_18,1,0.5,0.667,0.875,0.7,0.778
SEIR015_sl1000_mr0125_nv10_19,1,0.548,0.708,0.9,0.581,0.706
SEIR015_sl1000_mr0125_nv10_2,0.917,0.688,0.786,0.909,0.625,0.741
SEIR015_sl1000_mr0125_nv10_20,0.958,0.561,0.708,0.889,0.78,0.831
SEIR015_sl1000_mr0125_nv10_3,1,0.667,0.8,0.8,0.889,0.842
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.957,0.882,0.918,0.85,0.333,0.479
SEIR015_sl1000_mr0125_nv10_6,1,0.543,0.704,0.909,0.571,0.702
SEIR015_sl1000_mr0125_nv10_7,0.98,0.706,0.821,0.98,0.721,0.831
SEIR015_sl1000_mr0125_nv10_8,1,0.778,0.875,0.889,0.889,0.889
SEIR015_sl1000_mr0125_nv10_9,0.75,0.429,0.545,0.857,0.286,0.429
SEIR015_sl1000_mr025_nv10_1,1,0.6,0.75,1,0.9,0.947
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,0.977,0.75,0.848,0.932,0.732,0.82
SEIR015_sl1000_mr025_nv10_12,1,0.2,0.333,1,0.3,0.462
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,0.5,0.2,0.286
SEIR015_sl1000_mr025_nv10_14,0.895,0.68,0.773,0.76,0.76,0.76
SEIR015_sl1000_mr025_nv10_15,1,0.483,0.651,1,0.328,0.494
SEIR015_sl1000_mr025_nv10_16,1,0.571,0.727,0.929,0.929,0.929
SEIR015_sl1000_mr025_nv10_17,0.9,0.711,0.794,0.862,0.658,0.746
SEIR015_sl1000_mr025_nv10_18,1,0.595,0.746,0.9,0.73,0.806
SEIR015_sl1000_mr025_nv10_19,0.933,0.737,0.824,0.882,0.789,0.833
SEIR015_sl1000_mr025_nv10_2,0.976,0.732,0.837,0.914,0.571,0.703
SEIR015_sl1000_mr025_nv10_20,1,0.375,0.545,0.857,0.75,0.8
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,0.907,0.848,0.876
SEIR015_sl1000_mr025_nv10_4,0.972,0.795,0.875,0.919,0.773,0.84
SEIR015_sl1000_mr025_nv10_5,0.947,0.75,0.837,0.884,0.792,0.835
SEIR015_sl1000_mr025_nv10_6,0.93,0.87,0.899,0.974,0.804,0.881
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,1,0.7,0.824,1,0.8,0.889
SEIR015_sl1000_mr025_nv10_9,1,0.875,0.933,0.962,0.893,0.926
SEIR015_sl1000_mr025_nv20_1,1,0.6,0.75,0.867,0.867,0.867
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.7,0.778,0.737
SEIR015_sl1000_mr025_nv20_11,1,0.692,0.818,0.833,0.769,0.8
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.923,0.6,0.727
SEIR015_sl1000_mr025_nv20_13,1,0.222,0.364,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.952,0.909,0.93,0.857,0.818,0.837
SEIR015_sl1000_mr025_nv20_15,1,0.417,0.588,0.941,0.667,0.78
SEIR015_sl1000_mr025_nv20_16,0.929,0.867,0.897,0.893,0.833,0.862
SEIR015_sl1000_mr025_nv20_17,0.979,0.839,0.904,0.957,0.786,0.863
SEIR015_sl1000_mr025_nv20_18,0.955,0.538,0.689,0.926,0.641,0.758
SEIR015_sl1000_mr025_nv20_19,0.667,0.182,0.286,0.538,0.636,0.583
SEIR015_sl1000_mr025_nv20_2,1,0.6,0.75,1,0.84,0.913
SEIR015_sl1000_mr025_nv20_20,0.833,0.526,0.645,0.688,0.579,0.629
SEIR015_sl1000_mr025_nv20_3,1,0.636,0.778,0.951,0.591,0.729
SEIR015_sl1000_mr025_nv20_4,0.963,0.788,0.867,0.875,0.636,0.737
SEIR015_sl1000_mr025_nv20_5,0.972,0.897,0.933,0.912,0.795,0.849
SEIR015_sl1000_mr025_nv20_6,0.895,0.447,0.596,0.833,0.789,0.811
SEIR015_sl1000_mr025_nv20_7,0.935,0.806,0.866,1,0.861,0.925
SEIR015_sl1000_mr025_nv20_8,0.979,0.701,0.817,0.959,0.701,0.81
SEIR015_sl1000_mr025_nv20_9,0.812,0.722,0.765,0.692,0.5,0.581
SEIR015_sl1000_mr025_nv5_1,1,0.357,0.526,0.857,0.429,0.571
SEIR015_sl1000_mr025_nv5_10,1,0.306,0.468,0.842,0.444,0.582
SEIR015_sl1000_mr025_nv5_11,0.971,0.723,0.829,0.963,0.553,0.703
SEIR015_sl1000_mr025_nv5_12,0.778,0.636,0.7,0.429,0.273,0.333
SEIR015_sl1000_mr025_nv5_13,1,0.71,0.83,0.913,0.677,0.778
SEIR015_sl1000_mr025_nv5_14,1,0.467,0.636,0.688,0.733,0.71
SEIR015_sl1000_mr025_nv5_15,0.911,0.631,0.745,0.884,0.585,0.704
SEIR015_sl1000_mr025_nv5_16,1,0.846,0.917,1,0.615,0.762
SEIR015_sl1000_mr025_nv5_17,1,0.732,0.845,0.892,0.805,0.846
SEIR015_sl1000_mr025_nv5_18,0.923,0.655,0.766,0.85,0.618,0.716
SEIR015_sl1000_mr025_nv5_19,1,0.182,0.308,0.833,0.455,0.588
SEIR015_sl1000_mr025_nv5_2,1,0.556,0.714,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,1,0.61,0.758,0.926,0.61,0.735
SEIR015_sl1000_mr025_nv5_3,0.846,0.407,0.55,0.867,0.481,0.619
