dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.947,0.973,0.959,0.942,0.671,0.784
SEIR015_sl1000_mr0125_nv10_10,0.875,0.737,0.8,0.929,0.684,0.788
SEIR015_sl1000_mr0125_nv10_11,1,0.615,0.762,1,0.692,0.818
SEIR015_sl1000_mr0125_nv10_12,1,0.643,0.783,0.909,0.714,0.8
SEIR015_sl1000_mr0125_nv10_13,0.958,0.92,0.939,0.976,0.82,0.891
SEIR015_sl1000_mr0125_nv10_14,0.868,0.885,0.876,0.913,0.808,0.857
SEIR015_sl1000_mr0125_nv10_15,0.914,0.711,0.8,0.929,0.578,0.712
SEIR015_sl1000_mr0125_nv10_16,0.828,0.762,0.793,0.887,0.746,0.81
SEIR015_sl1000_mr0125_nv10_17,0.828,0.923,0.873,0.909,0.769,0.833
SEIR015_sl1000_mr0125_nv10_18,0.857,0.6,0.706,0.875,0.7,0.778
SEIR015_sl1000_mr0125_nv10_19,0.905,0.613,0.731,0.947,0.581,0.72
SEIR015_sl1000_mr0125_nv10_2,0.929,0.812,0.867,1,0.688,0.815
SEIR015_sl1000_mr0125_nv10_20,0.941,0.78,0.853,0.914,0.78,0.842
SEIR015_sl1000_mr0125_nv10_3,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.9,0.9,0.9
SEIR015_sl1000_mr0125_nv10_5,0.941,0.941,0.941,0.9,0.353,0.507
SEIR015_sl1000_mr0125_nv10_6,0.879,0.829,0.853,0.955,0.6,0.737
SEIR015_sl1000_mr0125_nv10_7,0.967,0.868,0.915,0.98,0.721,0.831
SEIR015_sl1000_mr0125_nv10_8,0.9,1,0.947,0.941,0.889,0.914
SEIR015_sl1000_mr0125_nv10_9,0.571,0.571,0.571,0.857,0.286,0.429
SEIR015_sl1000_mr025_nv10_1,0.889,0.8,0.842,1,0.9,0.947
SEIR015_sl1000_mr025_nv10_10,1,0.545,0.706,1,0.455,0.625
SEIR015_sl1000_mr025_nv10_11,0.893,0.893,0.893,0.932,0.732,0.82
SEIR015_sl1000_mr025_nv10_12,1,0.6,0.75,1,0.3,0.462
SEIR015_sl1000_mr025_nv10_13,0.5,0.3,0.375,0.5,0.2,0.286
SEIR015_sl1000_mr025_nv10_14,0.741,0.8,0.769,0.833,0.8,0.816
SEIR015_sl1000_mr025_nv10_15,0.865,0.552,0.674,1,0.328,0.494
SEIR015_sl1000_mr025_nv10_16,0.857,0.857,0.857,0.929,0.929,0.929
SEIR015_sl1000_mr025_nv10_17,0.941,0.842,0.889,0.931,0.711,0.806
SEIR015_sl1000_mr025_nv10_18,0.853,0.784,0.817,0.9,0.73,0.806
SEIR015_sl1000_mr025_nv10_19,0.85,0.895,0.872,0.882,0.789,0.833
SEIR015_sl1000_mr025_nv10_2,0.873,0.857,0.865,0.914,0.571,0.703
SEIR015_sl1000_mr025_nv10_20,0.75,0.75,0.75,0.857,0.75,0.8
SEIR015_sl1000_mr025_nv10_3,0.88,0.957,0.917,0.93,0.87,0.899
SEIR015_sl1000_mr025_nv10_4,0.955,0.955,0.955,0.973,0.818,0.889
SEIR015_sl1000_mr025_nv10_5,0.857,0.875,0.866,0.884,0.792,0.835
SEIR015_sl1000_mr025_nv10_6,0.915,0.935,0.925,1,0.804,0.892
SEIR015_sl1000_mr025_nv10_7,1,0.667,0.8,1,1,1
SEIR015_sl1000_mr025_nv10_8,0.944,0.85,0.895,1,0.8,0.889
SEIR015_sl1000_mr025_nv10_9,0.964,0.964,0.964,0.962,0.893,0.926
SEIR015_sl1000_mr025_nv20_1,0.8,0.8,0.8,0.929,0.867,0.897
SEIR015_sl1000_mr025_nv20_10,0.778,0.778,0.778,0.8,0.889,0.842
SEIR015_sl1000_mr025_nv20_11,0.923,0.923,0.923,0.917,0.846,0.88
SEIR015_sl1000_mr025_nv20_12,0.667,0.7,0.683,0.923,0.6,0.727
SEIR015_sl1000_mr025_nv20_13,0.75,1,0.857,0.75,1,0.857
SEIR015_sl1000_mr025_nv20_14,0.955,0.955,0.955,0.95,0.864,0.905
SEIR015_sl1000_mr025_nv20_15,0.75,0.75,0.75,0.941,0.667,0.78
SEIR015_sl1000_mr025_nv20_16,0.968,1,0.984,0.964,0.9,0.931
SEIR015_sl1000_mr025_nv20_17,0.912,0.929,0.92,0.957,0.786,0.863
SEIR015_sl1000_mr025_nv20_18,0.806,0.744,0.773,0.926,0.641,0.758
SEIR015_sl1000_mr025_nv20_19,0.7,0.636,0.667,0.615,0.727,0.667
SEIR015_sl1000_mr025_nv20_2,0.917,0.88,0.898,1,0.84,0.913
SEIR015_sl1000_mr025_nv20_20,0.778,0.737,0.757,0.75,0.632,0.686
SEIR015_sl1000_mr025_nv20_3,0.95,0.864,0.905,0.976,0.606,0.748
SEIR015_sl1000_mr025_nv20_4,0.912,0.939,0.925,0.913,0.636,0.75
SEIR015_sl1000_mr025_nv20_5,0.973,0.923,0.947,0.971,0.846,0.904
SEIR015_sl1000_mr025_nv20_6,0.897,0.921,0.909,0.943,0.868,0.904
SEIR015_sl1000_mr025_nv20_7,0.943,0.917,0.93,1,0.861,0.925
SEIR015_sl1000_mr025_nv20_8,0.895,0.761,0.823,0.959,0.701,0.81
SEIR015_sl1000_mr025_nv20_9,0.778,0.778,0.778,0.833,0.556,0.667
SEIR015_sl1000_mr025_nv5_1,0.857,0.429,0.571,0.857,0.429,0.571
SEIR015_sl1000_mr025_nv5_10,0.724,0.583,0.646,0.842,0.444,0.582
SEIR015_sl1000_mr025_nv5_11,0.929,0.83,0.876,0.963,0.553,0.703
SEIR015_sl1000_mr025_nv5_12,0.8,0.727,0.762,0.571,0.364,0.444
SEIR015_sl1000_mr025_nv5_13,0.871,0.871,0.871,0.913,0.677,0.778
SEIR015_sl1000_mr025_nv5_14,0.867,0.867,0.867,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv5_15,0.833,0.769,0.8,0.93,0.615,0.741
SEIR015_sl1000_mr025_nv5_16,1,0.885,0.939,1,0.615,0.762
SEIR015_sl1000_mr025_nv5_17,1,0.854,0.921,0.944,0.829,0.883
SEIR015_sl1000_mr025_nv5_18,0.816,0.727,0.769,0.875,0.636,0.737
SEIR015_sl1000_mr025_nv5_19,0.714,0.455,0.556,0.833,0.455,0.588
SEIR015_sl1000_mr025_nv5_2,1,0.667,0.8,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,0.811,0.732,0.769,0.962,0.61,0.746
SEIR015_sl1000_mr025_nv5_3,0.762,0.593,0.667,0.867,0.481,0.619
SEIR015_sl1000_mr025_nv5_4,0.867,0.78,0.821,0.909,0.6,0.723
SEIR015_sl1000_mr025_nv5_5,0.714,0.476,0.571,0.75,0.286,0.414
SEIR015_sl1000_mr025_nv5_6,0.732,0.484,0.583,0.87,0.323,0.471
SEIR015_sl1000_mr025_nv5_7,0.846,0.846,0.846,0.842,0.615,0.711
SEIR015_sl1000_mr025_nv5_8,0.952,0.87,0.909,0.889,0.696,0.78
SEIR015_sl1000_mr025_nv5_9,0.719,0.575,0.639,0.81,0.425,0.557
SEIR015_sl1000_mr05_nv10_1,0.765,0.765,0.765,0.846,0.647,0.733
SEIR015_sl1000_mr05_nv10_10,0.889,0.889,0.889,0.857,0.667,0.75
SEIR015_sl1000_mr05_nv10_11,0.571,0.5,0.533,0.6,0.375,0.462
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.964,0.885,0.923,1,0.836,0.911
SEIR015_sl1000_mr05_nv10_14,0.822,0.804,0.813,0.897,0.565,0.693
SEIR015_sl1000_mr05_nv10_15,0.909,0.909,0.909,0.875,0.636,0.737
SEIR015_sl1000_mr05_nv10_16,0.909,0.976,0.941,1,0.878,0.935
SEIR015_sl1000_mr05_nv10_17,0.857,0.87,0.863,0.915,0.783,0.844
SEIR015_sl1000_mr05_nv10_18,0.833,0.854,0.843,0.943,0.805,0.868
SEIR015_sl1000_mr05_nv10_19,0.938,0.938,0.938,0.966,0.875,0.918
SEIR015_sl1000_mr05_nv10_2,0.941,0.762,0.842,0.909,0.714,0.8
SEIR015_sl1000_mr05_nv10_20,0.852,0.561,0.676,0.833,0.244,0.377
SEIR015_sl1000_mr05_nv10_3,0.86,0.875,0.867,0.925,0.875,0.899
SEIR015_sl1000_mr05_nv10_4,0.875,0.875,0.875,0.833,0.781,0.806
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818,0.889,0.727,0.8
SEIR015_sl1000_mr05_nv10_6,1,0.967,0.983,1,0.733,0.846
SEIR015_sl1000_mr05_nv10_7,0.692,0.692,0.692,0.769,0.769,0.769
SEIR015_sl1000_mr05_nv10_8,0.879,0.806,0.841,0.931,0.75,0.831
SEIR015_sl1000_mr05_nv10_9,0.857,0.8,0.828,0.923,0.8,0.857
SEIR015_sl250_mr025_nv10_1,0.833,0.882,0.857,1,0.765,0.867
SEIR015_sl250_mr025_nv10_10,0.65,0.661,0.655,0.889,0.407,0.558
SEIR015_sl250_mr025_nv10_11,0.556,0.588,0.571,0.68,0.5,0.576
SEIR015_sl250_mr025_nv10_12,0.647,0.767,0.702,0.771,0.628,0.692
SEIR015_sl250_mr025_nv10_13,0.786,0.688,0.733,1,0.688,0.815
SEIR015_sl250_mr025_nv10_14,0.655,0.76,0.704,0.682,0.6,0.638
SEIR015_sl250_mr025_nv10_15,0.704,0.776,0.738,0.811,0.612,0.698
SEIR015_sl250_mr025_nv10_16,0.484,0.556,0.517,0.688,0.407,0.512
SEIR015_sl250_mr025_nv10_17,0.5,0.333,0.4,0.4,0.167,0.235
SEIR015_sl250_mr025_nv10_18,0.5,0.636,0.56,0.833,0.455,0.588
SEIR015_sl250_mr025_nv10_19,0.515,0.459,0.486,0.7,0.378,0.491
SEIR015_sl250_mr025_nv10_2,0.429,0.409,0.419,0.5,0.182,0.267
SEIR015_sl250_mr025_nv10_20,0.73,0.818,0.771,0.742,0.697,0.719
SEIR015_sl250_mr025_nv10_3,0.462,0.4,0.429,0.375,0.2,0.261
SEIR015_sl250_mr025_nv10_4,0.75,0.84,0.792,0.875,0.84,0.857
SEIR015_sl250_mr025_nv10_5,0.778,0.875,0.824,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.545,0.686,0.608,0.654,0.486,0.557
SEIR015_sl250_mr025_nv10_7,0.333,0.25,0.286,0.667,0.25,0.364
SEIR015_sl250_mr025_nv10_8,0.821,0.852,0.836,0.905,0.704,0.792
SEIR015_sl250_mr025_nv10_9,0.722,0.867,0.788,0.833,0.667,0.741
SEIR015_sl500_mr025_nv10_1,0.75,0.9,0.818,0.7,0.7,0.7
SEIR015_sl500_mr025_nv10_10,0.907,0.907,0.907,0.897,0.814,0.854
SEIR015_sl500_mr025_nv10_11,0.857,0.75,0.8,1,0.625,0.769
SEIR015_sl500_mr025_nv10_12,0.792,0.792,0.792,0.865,0.604,0.711
SEIR015_sl500_mr025_nv10_13,0.821,0.821,0.821,0.792,0.679,0.731
SEIR015_sl500_mr025_nv10_14,1,0.778,0.875,1,1,1
SEIR015_sl500_mr025_nv10_15,0.85,0.879,0.864,0.881,0.638,0.74
SEIR015_sl500_mr025_nv10_16,0.786,0.917,0.846,0.909,0.833,0.87
SEIR015_sl500_mr025_nv10_17,0.8,0.857,0.828,0.846,0.786,0.815
SEIR015_sl500_mr025_nv10_18,0.75,0.577,0.652,0.737,0.538,0.622
SEIR015_sl500_mr025_nv10_19,1,1,1,1,1,1
SEIR015_sl500_mr025_nv10_2,1,0.875,0.933,0.875,0.875,0.875
SEIR015_sl500_mr025_nv10_20,0.883,0.828,0.855,0.907,0.609,0.729
SEIR015_sl500_mr025_nv10_3,0.806,0.676,0.735,0.895,0.459,0.607
SEIR015_sl500_mr025_nv10_4,0.81,0.829,0.819,0.9,0.659,0.761
SEIR015_sl500_mr025_nv10_5,0.917,0.786,0.846,1,0.857,0.923
SEIR015_sl500_mr025_nv10_6,0.722,0.684,0.703,0.75,0.632,0.686
SEIR015_sl500_mr025_nv10_7,0.879,0.823,0.85,0.886,0.629,0.736
SEIR015_sl500_mr025_nv10_8,0.797,0.761,0.779,0.918,0.672,0.776
SEIR015_sl500_mr025_nv10_9,0.714,0.909,0.8,0.818,0.818,0.818
SEIR01_sl1000_mr0125_nv10_1,0.867,0.722,0.788,0.857,0.667,0.75
SEIR01_sl1000_mr0125_nv10_10,0.963,0.963,0.963,0.959,0.87,0.913
SEIR01_sl1000_mr0125_nv10_11,1,1,1,1,1,1
SEIR01_sl1000_mr0125_nv10_12,1,0.4,0.571,1,0.2,0.333
SEIR01_sl1000_mr0125_nv10_13,1,1,1,1,1,1
SEIR01_sl1000_mr0125_nv10_14,0.964,0.9,0.931,0.964,0.9,0.931
SEIR01_sl1000_mr0125_nv10_15,1,0.917,0.957,1,0.875,0.933
SEIR01_sl1000_mr0125_nv10_16,1,0.714,0.833,1,1,1
SEIR01_sl1000_mr0125_nv10_17,1,1,1,1,1,1
SEIR01_sl1000_mr0125_nv10_18,0.935,0.956,0.945,0.976,0.889,0.93
SEIR01_sl1000_mr0125_nv10_19,0.963,0.867,0.912,0.963,0.867,0.912
SEIR01_sl1000_mr0125_nv10_2,1,0.923,0.96,1,0.962,0.98
SEIR01_sl1000_mr0125_nv10_20,1,0.96,0.98,1,1,1
SEIR01_sl1000_mr0125_nv10_3,0.925,0.974,0.949,0.921,0.921,0.921
SEIR01_sl1000_mr0125_nv10_4,0.913,0.875,0.894,1,0.833,0.909
SEIR01_sl1000_mr0125_nv10_5,0.955,0.894,0.923,0.953,0.872,0.911
SEIR01_sl1000_mr0125_nv10_6,0.935,0.896,0.915,0.976,0.833,0.899
SEIR01_sl1000_mr0125_nv10_7,1,0.949,0.974,1,0.949,0.974
SEIR01_sl1000_mr0125_nv10_8,1,1,1,1,1,1
SEIR01_sl1000_mr0125_nv10_9,0.959,1,0.979,1,0.915,0.956
SEIR01_sl1000_mr025_nv10_1,0.962,0.893,0.926,0.96,0.857,0.906
SEIR01_sl1000_mr025_nv10_10,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv10_11,0.919,0.971,0.944,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv10_12,0.857,0.75,0.8,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv10_13,0.947,0.9,0.923,0.938,0.75,0.833
SEIR01_sl1000_mr025_nv10_14,0.939,0.912,0.925,0.941,0.941,0.941
SEIR01_sl1000_mr025_nv10_15,1,1,1,1,1,1
SEIR01_sl1000_mr025_nv10_16,0.951,0.929,0.94,0.974,0.881,0.925
SEIR01_sl1000_mr025_nv10_17,0.884,0.844,0.864,0.944,0.756,0.84
SEIR01_sl1000_mr025_nv10_18,1,0.889,0.941,1,1,1
SEIR01_sl1000_mr025_nv10_19,0.879,0.864,0.872,0.889,0.814,0.85
SEIR01_sl1000_mr025_nv10_2,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr025_nv10_20,1,1,1,1,0.941,0.97
SEIR01_sl1000_mr025_nv10_3,0.92,0.939,0.929,0.957,0.918,0.938
SEIR01_sl1000_mr025_nv10_4,0.98,0.962,0.971,0.978,0.865,0.918
SEIR01_sl1000_mr025_nv10_5,0.977,0.955,0.966,0.975,0.886,0.929
SEIR01_sl1000_mr025_nv10_6,1,0.857,0.923,1,1,1
SEIR01_sl1000_mr025_nv10_7,0.919,0.85,0.883,0.944,0.85,0.895
SEIR01_sl1000_mr025_nv10_8,0.917,0.815,0.863,0.96,0.889,0.923
SEIR01_sl1000_mr025_nv10_9,0.913,0.894,0.903,0.93,0.851,0.889
SEIR01_sl1000_mr025_nv20_1,0.865,1,0.928,0.879,0.906,0.892
SEIR01_sl1000_mr025_nv20_10,1,0.778,0.875,1,0.778,0.875
SEIR01_sl1000_mr025_nv20_11,1,0.8,0.889,1,1,1
SEIR01_sl1000_mr025_nv20_12,0.895,0.944,0.919,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv20_13,0.879,0.879,0.879,0.962,0.862,0.909
SEIR01_sl1000_mr025_nv20_14,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr025_nv20_15,0.955,0.913,0.933,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.667,0.857,0.75,0.667,0.857,0.75
SEIR01_sl1000_mr025_nv20_17,0.917,0.88,0.898,0.917,0.88,0.898
SEIR01_sl1000_mr025_nv20_18,1,0.962,0.98,1,1,1
SEIR01_sl1000_mr025_nv20_19,1,1,1,1,1,1
SEIR01_sl1000_mr025_nv20_2,0.976,0.976,0.976,0.976,0.976,0.976
SEIR01_sl1000_mr025_nv20_20,0.931,0.871,0.9,0.926,0.806,0.862
SEIR01_sl1000_mr025_nv20_3,0.857,0.857,0.857,0.909,0.952,0.93
SEIR01_sl1000_mr025_nv20_4,1,0.875,0.933,1,1,1
SEIR01_sl1000_mr025_nv20_5,0.903,0.848,0.875,0.875,0.848,0.862
SEIR01_sl1000_mr025_nv20_6,1,1,1,1,1,1
SEIR01_sl1000_mr025_nv20_7,0.941,0.941,0.941,0.941,0.941,0.941
SEIR01_sl1000_mr025_nv20_8,1,0.8,0.889,1,1,1
SEIR01_sl1000_mr025_nv20_9,1,0.917,0.957,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.872,0.829,0.85,0.938,0.732,0.822
SEIR01_sl1000_mr025_nv5_10,1,0.515,0.68,1,0.606,0.755
SEIR01_sl1000_mr025_nv5_11,0.882,0.789,0.833,0.938,0.789,0.857
SEIR01_sl1000_mr025_nv5_12,0.846,0.579,0.688,0.941,0.842,0.889
SEIR01_sl1000_mr025_nv5_13,1,0.75,0.857,1,1,1
SEIR01_sl1000_mr025_nv5_14,1,0.95,0.974,1,0.9,0.947
SEIR01_sl1000_mr025_nv5_15,0.926,0.926,0.926,0.92,0.852,0.885
SEIR01_sl1000_mr025_nv5_16,1,0.722,0.839,1,0.778,0.875
SEIR01_sl1000_mr025_nv5_17,1,0.818,0.9,1,1,1
SEIR01_sl1000_mr025_nv5_18,0.905,0.809,0.854,0.973,0.766,0.857
SEIR01_sl1000_mr025_nv5_19,0.982,0.966,0.974,0.982,0.966,0.974
