dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.947,0.973,0.959,1.0,0.384,0.554
SEIR015_sl1000_mr0125_nv10_10,0.875,0.737,0.8,1.0,0.579,0.733
SEIR015_sl1000_mr0125_nv10_11,1.0,0.615,0.762,1.0,0.308,0.471
SEIR015_sl1000_mr0125_nv10_12,1.0,0.643,0.783,1.0,0.357,0.526
SEIR015_sl1000_mr0125_nv10_13,0.958,0.92,0.939,0.968,0.6,0.741
SEIR015_sl1000_mr0125_nv10_14,0.868,0.885,0.876,1.0,0.635,0.776
SEIR015_sl1000_mr0125_nv10_15,0.914,0.711,0.8,0.929,0.289,0.441
SEIR015_sl1000_mr0125_nv10_16,0.828,0.762,0.793,0.974,0.587,0.733
SEIR015_sl1000_mr0125_nv10_17,0.828,0.923,0.873,0.875,0.538,0.667
SEIR015_sl1000_mr0125_nv10_18,0.857,0.6,0.706,0.8,0.4,0.533
SEIR015_sl1000_mr0125_nv10_19,0.905,0.613,0.731,1.0,0.548,0.708
SEIR015_sl1000_mr0125_nv10_2,0.929,0.812,0.867,1.0,0.625,0.769
SEIR015_sl1000_mr0125_nv10_20,0.941,0.78,0.853,0.947,0.439,0.6
SEIR015_sl1000_mr0125_nv10_3,0.889,0.889,0.889,1.0,0.667,0.8
SEIR015_sl1000_mr0125_nv10_4,1.0,0.8,0.889,1.0,0.5,0.667
SEIR015_sl1000_mr0125_nv10_5,0.941,0.941,0.941,1.0,0.235,0.381
SEIR015_sl1000_mr0125_nv10_6,0.879,0.829,0.853,1.0,0.343,0.511
SEIR015_sl1000_mr0125_nv10_7,0.967,0.868,0.915,0.967,0.426,0.592
SEIR015_sl1000_mr0125_nv10_8,0.9,1.0,0.947,1.0,0.444,0.615
SEIR015_sl1000_mr0125_nv10_9,0.571,0.571,0.571,1.0,0.143,0.25
SEIR015_sl1000_mr025_nv10_1,0.889,0.8,0.842,1.0,0.7,0.824
SEIR015_sl1000_mr025_nv10_10,1.0,0.545,0.706,1.0,0.364,0.533
SEIR015_sl1000_mr025_nv10_11,0.893,0.893,0.893,0.96,0.429,0.593
