dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.939,0.849,0.892,0.873,0.753,0.809
SEIR015_sl1000_mr0125_nv10_10,1,0.579,0.733,0.714,0.789,0.75
SEIR015_sl1000_mr0125_nv10_11,0.875,0.538,0.667,0.615,0.615,0.615
SEIR015_sl1000_mr0125_nv10_12,0.9,0.643,0.75,0.769,0.714,0.741
SEIR015_sl1000_mr0125_nv10_13,0.978,0.9,0.938,0.915,0.86,0.887
SEIR015_sl1000_mr0125_nv10_14,0.969,0.596,0.738,0.846,0.846,0.846
SEIR015_sl1000_mr0125_nv10_15,0.893,0.556,0.685,0.684,0.578,0.627
SEIR015_sl1000_mr0125_nv10_16,0.897,0.556,0.686,0.806,0.857,0.831
SEIR015_sl1000_mr0125_nv10_17,1,0.462,0.632,0.846,0.846,0.846
SEIR015_sl1000_mr0125_nv10_18,1,0.5,0.667,0.818,0.9,0.857
SEIR015_sl1000_mr0125_nv10_19,0.947,0.581,0.72,0.69,0.645,0.667
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.769,0.625,0.69
SEIR015_sl1000_mr0125_nv10_20,0.967,0.707,0.817,0.833,0.854,0.843
SEIR015_sl1000_mr0125_nv10_3,1,0.556,0.714,0.692,1,0.818
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.94,0.922,0.931,0.618,0.412,0.494
SEIR015_sl1000_mr0125_nv10_6,1,0.6,0.75,0.882,0.857,0.87
SEIR015_sl1000_mr0125_nv10_7,0.979,0.676,0.8,0.927,0.75,0.829
SEIR015_sl1000_mr0125_nv10_8,1,0.778,0.875,0.889,0.889,0.889
SEIR015_sl1000_mr0125_nv10_9,0.667,0.381,0.485,0.412,0.333,0.368
SEIR015_sl1000_mr025_nv10_1,1,0.6,0.75,0.833,1,0.909
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.75,0.818,0.783
SEIR015_sl1000_mr025_nv10_11,1,0.768,0.869,0.927,0.911,0.919
SEIR015_sl1000_mr025_nv10_12,1,0.2,0.333,1,0.5,0.667
