dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.906,0.397,0.552,0.897,0.712,0.794
SEIR015_sl1000_mr0125_nv10_10,0.818,0.474,0.6,0.867,0.684,0.765
SEIR015_sl1000_mr0125_nv10_11,0.833,0.385,0.526,0.818,0.692,0.75
SEIR015_sl1000_mr0125_nv10_12,1,0.286,0.444,0.833,0.714,0.769
SEIR015_sl1000_mr0125_nv10_13,0.963,0.52,0.675,0.976,0.8,0.879
SEIR015_sl1000_mr0125_nv10_14,0.806,0.558,0.659,0.83,0.846,0.838
SEIR015_sl1000_mr0125_nv10_15,0.8,0.267,0.4,0.893,0.556,0.685
SEIR015_sl1000_mr0125_nv10_16,0.732,0.651,0.689,0.699,0.81,0.75
SEIR015_sl1000_mr0125_nv10_17,0.75,0.577,0.652,0.704,0.731,0.717
SEIR015_sl1000_mr0125_nv10_18,0.625,0.5,0.556,0.636,0.7,0.667
SEIR015_sl1000_mr0125_nv10_19,0.833,0.484,0.612,0.762,0.516,0.615
SEIR015_sl1000_mr0125_nv10_2,0.9,0.562,0.692,0.909,0.625,0.741
SEIR015_sl1000_mr0125_nv10_20,0.929,0.634,0.754,0.923,0.878,0.9
SEIR015_sl1000_mr0125_nv10_3,0.714,0.556,0.625,0.7,0.778,0.737
SEIR015_sl1000_mr0125_nv10_4,1,0.6,0.75,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.688,0.216,0.328,0.773,0.333,0.466
SEIR015_sl1000_mr0125_nv10_6,0.812,0.371,0.51,0.808,0.6,0.689
SEIR015_sl1000_mr0125_nv10_7,0.816,0.456,0.585,0.82,0.735,0.775
SEIR015_sl1000_mr0125_nv10_8,0.8,0.444,0.571,0.706,0.667,0.686
SEIR015_sl1000_mr0125_nv10_9,0.5,0.238,0.323,0.467,0.333,0.389
SEIR015_sl1000_mr025_nv10_1,0.889,0.8,0.842,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_10,0.5,0.091,0.154,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,0.857,0.429,0.571,0.857,0.75,0.8
SEIR015_sl1000_mr025_nv10_12,0.833,0.5,0.625,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_13,0.286,0.2,0.235,0.308,0.4,0.348
SEIR015_sl1000_mr025_nv10_14,0.818,0.36,0.5,0.731,0.76,0.745
SEIR015_sl1000_mr025_nv10_15,0.586,0.293,0.391,0.565,0.448,0.5
SEIR015_sl1000_mr025_nv10_16,0.727,0.571,0.64,0.786,0.786,0.786
SEIR015_sl1000_mr025_nv10_17,0.833,0.395,0.536,0.812,0.684,0.743
SEIR015_sl1000_mr025_nv10_18,0.75,0.486,0.59,0.743,0.703,0.722
SEIR015_sl1000_mr025_nv10_19,0.727,0.421,0.533,0.882,0.789,0.833
SEIR015_sl1000_mr025_nv10_2,0.769,0.357,0.488,0.854,0.625,0.722
SEIR015_sl1000_mr025_nv10_20,0.333,0.25,0.286,0.625,0.625,0.625
SEIR015_sl1000_mr025_nv10_3,0.848,0.609,0.709,0.894,0.913,0.903
SEIR015_sl1000_mr025_nv10_4,0.826,0.432,0.567,0.895,0.773,0.829
SEIR015_sl1000_mr025_nv10_5,0.885,0.479,0.622,0.844,0.792,0.817
SEIR015_sl1000_mr025_nv10_6,1,0.5,0.667,0.947,0.783,0.857
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,1,0.65,0.788,0.941,0.8,0.865
SEIR015_sl1000_mr025_nv10_9,0.938,0.536,0.682,0.942,0.875,0.907
SEIR015_sl1000_mr025_nv20_1,0.556,0.333,0.417,0.588,0.667,0.625
SEIR015_sl1000_mr025_nv20_10,0.6,0.333,0.429,0.583,0.778,0.667
SEIR015_sl1000_mr025_nv20_11,0.889,0.615,0.727,0.833,0.769,0.8
SEIR015_sl1000_mr025_nv20_12,0.55,0.55,0.55,0.542,0.65,0.591
SEIR015_sl1000_mr025_nv20_13,0.667,0.667,0.667,0.667,0.889,0.762
SEIR015_sl1000_mr025_nv20_14,0.778,0.318,0.452,0.889,0.727,0.8
SEIR015_sl1000_mr025_nv20_15,0.632,0.5,0.558,0.621,0.75,0.679
SEIR015_sl1000_mr025_nv20_16,0.909,0.667,0.769,0.862,0.833,0.847
SEIR015_sl1000_mr025_nv20_17,0.931,0.482,0.635,0.885,0.821,0.852
SEIR015_sl1000_mr025_nv20_18,0.606,0.513,0.556,0.651,0.718,0.683
SEIR015_sl1000_mr025_nv20_19,0.429,0.273,0.333,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_2,0.938,0.6,0.732,0.917,0.88,0.898
SEIR015_sl1000_mr025_nv20_20,0.75,0.474,0.581,0.667,0.526,0.588
SEIR015_sl1000_mr025_nv20_3,0.692,0.545,0.61,0.698,0.667,0.682
SEIR015_sl1000_mr025_nv20_4,0.778,0.424,0.549,0.833,0.606,0.702
SEIR015_sl1000_mr025_nv20_5,0.95,0.487,0.644,0.943,0.846,0.892
SEIR015_sl1000_mr025_nv20_6,0.75,0.553,0.636,0.78,0.842,0.81
SEIR015_sl1000_mr025_nv20_7,1,0.75,0.857,0.969,0.861,0.912
SEIR015_sl1000_mr025_nv20_8,0.736,0.582,0.65,0.657,0.687,0.672
SEIR015_sl1000_mr025_nv20_9,0.857,0.333,0.48,0.769,0.556,0.645
SEIR015_sl1000_mr025_nv5_1,1,0.071,0.133,1,0.643,0.783
SEIR015_sl1000_mr025_nv5_10,0.636,0.389,0.483,0.7,0.583,0.636
SEIR015_sl1000_mr025_nv5_11,0.7,0.298,0.418,0.757,0.596,0.667
SEIR015_sl1000_mr025_nv5_12,1,0.182,0.308,0.5,0.364,0.421
SEIR015_sl1000_mr025_nv5_13,1,0.355,0.524,0.917,0.71,0.8
SEIR015_sl1000_mr025_nv5_14,0.8,0.533,0.64,0.6,0.6,0.6
